,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,Simplified_Title,course_title_l,keywords
0,134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,isc systems security certified practitioner sscp,(isc)² systems security certified practitioner (sscp),"['systems security certified', 'security certified practitioner', 'isc systems security', 'systems security', 'practitioner sscp', 'security certified', 'certified practitioner sscp', 'security', 'sscp', 'isc systems']"
1,743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,crash course causality inferring causal effects observational data,a crash course in causality:  inferring causal effects from observational data,"['inferring causal effects', 'causal effects observational', 'inferring causal', 'causality inferring', 'causality inferring causal', 'causal effects', 'crash course causality', 'causality', 'course causality inferring', 'effects observational data']"
2,874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,crash course data science,a crash course in data science,"['data science', 'course data science', 'crash course data', 'course data', 'data', 'crash course', 'science', 'course', 'crash']"
3,413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,law students toolkit,a law student's toolkit,"['law student toolkit', 'law student', 'student toolkit', 'toolkit', 'law', 'student']"
4,635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,life happiness fulfillment,a life of happiness and fulfillment,"['life happiness fulfillment', 'happiness fulfillment', 'life happiness', 'happiness', 'life', 'fulfillment']"
5,661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,adhd everyday strategies elementary students,adhd: everyday strategies for elementary students,"['adhd everyday strategies', 'adhd everyday', 'adhd', 'everyday strategies elementary', 'strategies elementary students', 'everyday strategies', 'elementary students', 'strategies elementary', 'elementary', 'strategies']"
6,54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,ai,ai for everyone,['ai']
7,488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,ai medical treatment,ai for medical treatment,"['ai medical treatment', 'ai medical', 'ai', 'medical', 'medical treatment', 'treatment']"
8,58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,ai foundations,ai foundations for everyone,"['ai foundations', 'ai', 'foundations']"
9,129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,ai medical diagnosis,ai for medical diagnosis,"['ai medical diagnosis', 'ai medical', 'ai', 'diagnosis', 'medical diagnosis', 'medical']"
10,283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,ai medical prognosis,ai for medical prognosis,"['ai medical prognosis', 'ai medical', 'medical prognosis', 'ai', 'prognosis', 'medical']"
11,35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,ai medicine,ai for medicine,"['ai medicine', 'ai', 'medicine']"
12,43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,aws fundamentals,aws fundamentals,"['aws fundamentals', 'aws', 'fundamentals']"
13,631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,aws fundamentals addressing security risk,aws fundamentals: addressing security risk,"['aws fundamentals', 'aws fundamentals addressing', 'aws', 'fundamentals addressing security', 'addressing security risk', 'addressing security', 'security risk', 'security', 'fundamentals', 'risk']"
