,Course Code,course_title,course_code,Unnamed: 3,keywords,Simplified_Title,course_title_l
0,BCHY101L,Engineering Chemistry,BCHY101L : Engineering Chemistry,,"['engineering chemistry', 'chemistry', 'engineering']",engineering chemistry,engineering chemistry
1,BCHY101P,Engineering Chemistry Lab,BCHY101P : Engineering Chemistry Lab,,"['engineering chemistry lab', 'chemistry lab', 'engineering chemistry', 'chemistry', 'lab', 'engineering']",engineering chemistry lab,engineering chemistry lab
2,BMAT101L,Calculus,BMAT101L : Calculus,,['calculus'],calculus,calculus
3,BMAT101P,Calculus Lab,BMAT101P : Calculus Lab,,"['calculus lab', 'calculus', 'lab']",calculus lab,calculus lab
4,BMAT102L,Differential Equations and Transforms,BMAT102L : Differential Equations and Transforms,,"['differential equations transforms', 'equations transforms', 'differential equations', 'transforms', 'differential', 'equations']",differential equations transforms,differential equations and transforms
5,BMAT201L,Complex Variables and Linear Algebra,BMAT201L : Complex Variables and Linear Algebra,,"['complex variables linear', 'complex variables', 'variables linear algebra', 'linear algebra', 'variables linear', 'complex', 'algebra', 'variables', 'linear']",complex variables linear algebra,complex variables and linear algebra
6,BMAT202L,Probability and Statistics,BMAT202L : Probability and Statistics,,"['probability statistics', 'probability', 'statistics']",probability statistics,probability and statistics
7,BMAT202P,Probability and Statistics Lab,BMAT202P : Probability and Statistics Lab,,"['probability statistics lab', 'probability statistics', 'statistics lab', 'probability', 'statistics', 'lab']",probability statistics lab,probability and statistics lab
8,BPHY101L,Engineering Physics,BPHY101L : Engineering Physics,,"['engineering physics', 'engineering', 'physics']",engineering physics,engineering physics
9,BPHY101P,Engineering Physics Lab,BPHY101P : Engineering Physics Lab,,"['engineering physics lab', 'physics lab', 'engineering physics', 'engineering', 'physics', 'lab']",engineering physics lab,engineering physics lab
10,BCSE101E,Computer Programming : Python,BCSE101E : Computer Programming : Python,,"['computer programming python', 'programming python', 'python', 'computer programming', 'programming', 'computer']",computer programming  python,computer programming : python
11,BCSE103E,Computer Programming : Java,BCSE103E : Computer Programming : Java,,"['computer programming java', 'programming java', 'java', 'computer programming', 'programming', 'computer']",computer programming  java,computer programming : java
12,BEEE102L,Basic Electrical and Electronics Engineering,BEEE102L : Basic Electrical and Electronics Engineering,,"['electrical electronics engineering', 'electronics engineering', 'basic electrical electronics', 'electrical electronics', 'basic electrical', 'electrical', 'electronics', 'engineering', 'basic']",basic electrical electronics engineering,basic electrical and electronics engineering
13,BEEE102P,Basic Electrical and Electronics Engineering Lab,BEEE102P : Basic Electrical and Electronics Engineering Lab,,"['electronics engineering lab', 'basic electrical electronics', 'electrical electronics engineering', 'electronics engineering', 'basic electrical', 'electrical electronics', 'engineering lab', 'electronics', 'electrical', 'engineering']",basic electrical electronics engineering lab,basic electrical and electronics engineering lab
14,BENG101L,Technical English Communication,BENG101L : Technical English Communication,,"['technical english communication', 'technical english', 'english communication', 'communication', 'technical', 'english']",technical english communication,technical english communication
15,BENG101N,Effective English Communication,BENG101N : Effective English Communication,,"['effective english communication', 'effective english', 'english communication', 'communication', 'english', 'effective']",effective english communication,effective english communication
16,BENG101P,Technical English Communication Lab,BENG101P : Technical English Communication Lab,,"['english communication lab', 'technical english communication', 'communication lab', 'technical english', 'english communication', 'english', 'lab', 'communication', 'technical']",technical english communication lab,technical english communication lab
17,BENG102P,Technical Report Writing,BENG102P : Technical Report Writing,,"['technical report writing', 'report writing', 'technical report', 'technical', 'report', 'writing']",technical report writing,technical report writing
18,BFLE200L,Foreign Language,BFLE200L : Foreign Language,,"['foreign language', 'language', 'foreign']",foreign language,foreign language
19,BHSM200L,HSM Elective,BHSM200L : HSM Elective,,"['hsm elective', 'hsm', 'elective']",hsm elective,hsm elective
20,BSTS101P,Quantitative Skills Practice I,BSTS101P : Quantitative Skills Practice I,,"['quantitative skills practice', 'quantitative skills', 'quantitative', 'skills practice', 'skills', 'practice']",quantitative skills practice,quantitative skills practice i
21,BSTS102P,Quantitative Skills Practice II,BSTS102P : Quantitative Skills Practice II,,"['quantitative skills practice', 'quantitative skills', 'skills practice ii', 'skills practice', 'quantitative', 'practice ii', 'skills', 'practice', 'ii']",quantitative skills practice ii,quantitative skills practice ii
22,BSTS201P,Qualitative Skills Practice I,BSTS201P : Qualitative Skills Practice I,,"['qualitative skills practice', 'qualitative skills', 'skills practice', 'skills', 'qualitative', 'practice']",qualitative skills practice,qualitative skills practice i
23,BSTS202P,Qualitative Skills Practice II,BSTS202P : Qualitative Skills Practice II,,"['qualitative skills practice', 'qualitative skills', 'skills practice ii', 'skills practice', 'practice ii', 'skills', 'qualitative', 'practice', 'ii']",qualitative skills practice ii,qualitative skills practice ii
24,BECE201L,Electronic Materials and devices,BECE201L : Electronic Materials and devices,,"['electronic materials devices', 'electronic materials', 'materials devices', 'materials', 'electronic', 'devices']",electronic materials devices,electronic materials and devices
25,BECE202L,Signals and Systems,BECE202L : Signals and Systems,,"['signals systems', 'signals', 'systems']",signals systems,signals and systems
26,BECE203L,Circuit Theory,BECE203L : Circuit Theory,,"['circuit theory', 'circuit', 'theory']",circuit theory,circuit theory
27,BECE102L,Digital Systems Design,BECE102L : Digital Systems Design,,"['digital systems design', 'digital systems', 'systems design', 'digital', 'systems', 'design']",digital systems design,digital systems design
28,BECE102P,Digital Systems Design Lab,BECE102P : Digital Systems Design Lab,,"['systems design lab', 'digital systems design', 'digital systems', 'design lab', 'systems design', 'systems', 'design', 'digital', 'lab']",digital systems design lab,digital systems design lab
29,BECE204L,Microprocessors and Microcontrollers,BECE204L : Microprocessors and Microcontrollers,,"['microprocessors microcontrollers', 'microcontrollers', 'microprocessors']",microprocessors microcontrollers,microprocessors and microcontrollers
30,BECE204P,Microprocessors and Microcontrollers Lab,BECE204P : Microprocessors and Microcontrollers Lab,,"['microprocessors microcontrollers lab', 'microcontrollers lab', 'microcontrollers', 'microprocessors microcontrollers', 'microprocessors', 'lab']",microprocessors microcontrollers lab,microprocessors and microcontrollers lab
31,BECE205L,Engineering Electromagnetics,BECE205L : Engineering Electromagnetics,,"['engineering electromagnetics', 'electromagnetics', 'engineering']",engineering electromagnetics,engineering electromagnetics
32,BECE206L,Analog Circuits,BECE206L : Analog Circuits,,"['analog circuits', 'circuits', 'analog']",analog circuits,analog circuits
33,BECE206P,Analog Circuits Lab,BECE206P : Analog Circuits Lab,,"['analog circuits lab', 'analog circuits', 'circuits lab', 'circuits', 'analog', 'lab']",analog circuits lab,analog circuits lab
34,BECE207L,Random Processes,BECE207L : Random Processes,,"['random processes', 'random', 'processes']",random processes,random processes
35,BECE301L,Digital Signal Processing,BECE301L : Digital Signal Processing,,"['digital signal processing', 'signal processing', 'digital signal', 'processing', 'digital', 'signal']",digital signal processing,digital signal processing
36,BECE301P,Digital Signal Processing Lab,BECE301P : Digital Signal Processing Lab,,"['signal processing lab', 'digital signal processing', 'signal processing', 'processing lab', 'digital signal', 'lab', 'signal', 'processing', 'digital']",digital signal processing lab,digital signal processing lab
37,BECE302L,Control Systems,BECE302L : Control Systems,,"['control systems', 'systems', 'control']",control systems,control systems
38,BECE303L,VLSI System Design,BECE303L : VLSI System Design,,"['vlsi design', 'vlsi', 'design']",vlsi system design,vlsi system design
39,BECE303P,VLSI System Design Lab,BECE303P : VLSI System Design Lab,,"['vlsi design lab', 'vlsi design', 'vlsi', 'design lab', 'lab', 'design']",vlsi system design lab,vlsi system design lab
40,BECE304L,Analog Communication Systems,BECE304L : Analog Communication Systems,,"['analog communication systems', 'analog communication', 'communication systems', 'analog', 'systems', 'communication']",analog communication systems,analog communication systems
41,BECE304P,Analog Communication Systems Lab,BECE304P : Analog Communication Systems Lab,,"['communication systems lab', 'analog communication systems', 'analog communication', 'communication systems', 'systems lab', 'analog', 'lab', 'communication', 'systems']",analog communication systems lab,analog communication systems lab
42,BECE305L,Antenna and Microwave Engineering,BECE305L : Antenna and Microwave Engineering,,"['antenna microwave engineering', 'microwave engineering', 'antenna microwave', 'antenna', 'microwave', 'engineering']",antenna microwave engineering,antenna and microwave engineering
43,BECE305P,Antenna and Microwave Engineering Lab,BECE305P : Antenna and Microwave Engineering Lab,,"['antenna microwave engineering', 'microwave engineering lab', 'microwave engineering', 'antenna microwave', 'antenna', 'engineering lab', 'microwave', 'engineering', 'lab']",antenna microwave engineering lab,antenna and microwave engineering lab
44,BECE306L,Digital Communication Systems,BECE306L : Digital Communication Systems,,"['digital communication systems', 'digital communication', 'communication systems', 'digital', 'systems', 'communication']",digital communication systems,digital communication systems
45,BECE306P,Digital Communication Systems Lab,BECE306P : Digital Communication Systems Lab,,"['communication systems lab', 'digital communication systems', 'digital communication', 'communication systems', 'systems lab', 'lab', 'communication', 'digital', 'systems']",digital communication systems lab,digital communication systems lab
46,BECE317L,Wireless and Mobile Communications,BECE317L : Wireless and Mobile Communications,,"['wireless mobile communications', 'mobile communications', 'wireless mobile', 'wireless', 'communications', 'mobile']",wireless mobile communications,wireless and mobile communications
47,BECE317P,Wireless and Mobile Communications Lab,BECE317P : Wireless and Mobile Communications Lab,,"['mobile communications lab', 'wireless mobile communications', 'mobile communications', 'communications lab', 'wireless mobile', 'wireless', 'communications', 'lab', 'mobile']",wireless mobile communications lab,wireless and mobile communications lab
48,BECE318L,Optical Fiber Communications,BECE318L : Optical Fiber Communications,,"['optical fiber communications', 'fiber communications', 'optical fiber', 'optical', 'fiber', 'communications']",optical fiber communications,optical fiber communications
49,BECE318P,Optical Fiber Communications Lab,BECE318P : Optical Fiber Communications Lab,,"['fiber communications lab', 'optical fiber communications', 'fiber communications', 'optical fiber', 'communications lab', 'fiber', 'optical', 'lab', 'communications']",optical fiber communications lab,optical fiber communications lab
50,BECE401L,Computer Communications and Networks,BECE401L : Computer Communications and Networks,,"['computer communications networks', 'computer communications', 'communications networks', 'communications', 'networks', 'computer']",computer communications networks,computer communications and networks
51,BECE401P,Computer Communications and Networks Lab,BECE401P : Computer Communications and Networks Lab,,"['communications networks lab', 'networks lab', 'computer communications networks', 'communications networks', 'computer communications', 'communications', 'networks', 'lab', 'computer']",computer communications networks lab,computer communications and networks lab
52,BECE208E,Data Structures and Algorithms,BECE208E : Data Structures and Algorithms,,"['data structures algorithms', 'data structures', 'structures algorithms', 'algorithms', 'structures', 'data']",data structures algorithms,data structures and algorithms
53,BECE209E,Structured and Object Oriented Programming,BECE209E : Structured and Object Oriented Programming,,"['structured object oriented', 'object oriented programming', 'oriented programming', 'object oriented', 'structured object', 'structured', 'programming', 'object', 'oriented']",structured object oriented programming,structured and object oriented programming
54,BECE309L,Artificial Intelligence and Machine Learning,BECE309L : Artificial Intelligence and Machine Learning,,"['machine learning', 'intelligence machine learning', 'artificial intelligence', 'intelligence machine', 'artificial intelligence machine', 'intelligence', 'learning', 'machine', 'artificial']",artificial intelligence machine learning,artificial intelligence and machine learning
55,BECE310L,Satellite Communications,BECE310L : Satellite Communications,,"['satellite communications', 'satellite', 'communications']",satellite communications,satellite communications
56,BECE311L,Radar Systems,BECE311L : Radar Systems,,"['radar systems', 'radar', 'systems']",radar systems,radar systems
57,BECE312L,Robotics and Automation,BECE312L : Robotics and Automation,,"['robotics automation', 'robotics', 'automation']",robotics automation,robotics and automation
58,BECE313L,Information Theory and Coding,BECE313L : Information Theory and Coding,,"['information theory coding', 'information theory', 'theory coding', 'coding', 'information', 'theory']",information theory coding,information theory and coding
59,BECE314L,Electromagnetic Interference and Compatibility,BECE314L : Electromagnetic Interference and Compatibility,,"['electromagnetic interference compatibility', 'electromagnetic interference', 'interference compatibility', 'interference', 'electromagnetic', 'compatibility']",electromagnetic interference compatibility,electromagnetic interference and compatibility
60,BECE315L,Optical Networks,BECE315L : Optical Networks,,"['optical networks', 'optical', 'networks']",optical networks,optical networks
61,BECE316E,Digital Image Processing,BECE316E : Digital Image Processing,,"['digital image processing', 'image processing', 'digital image', 'processing', 'digital', 'image']",digital image processing,digital image processing
62,BECE391J,Technical Answers to Real Problems Project,BECE391J : Technical Answers to Real Problems Project,,"['real problems project', 'problems project', 'technical answers real', 'technical answers', 'answers real problems', 'project', 'technical', 'real problems', 'answers real', 'problems']",technical answers real problems project,technical answers to real problems project
63,BECE392J,Design Project,BECE392J : Design Project,,"['design project', 'design', 'project']",design project,design project
64,BECE393J,Laboratory Project,BECE393J : Laboratory Project,,"['laboratory project', 'laboratory', 'project']",laboratory project,laboratory project
65,BECE394J,Product Development Project,BECE394J : Product Development Project,,"['product development project', 'product development', 'development project', 'project', 'product', 'development']",product development project,product development project
66,BECE395J,Computer Project,BECE395J : Computer Project,,"['computer project', 'project', 'computer']",computer project,computer project
67,BECE396J,Reading Course,BECE396J : Reading Course,,"['reading course', 'reading', 'course']",reading course,reading course
68,BECE397J,Special Project,BECE397J : Special Project,,"['special project', 'project', 'special']",special project,special project
69,BECE398J,Simulation Project,BECE398J : Simulation Project,,"['simulation project', 'simulation', 'project']",simulation project,simulation project
