,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,Simplified_Title,course_title_l,keywords
0,0,0,0,0,1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Business Finance,ultimate investment banking course,ultimate investment banking course,"['investment banking course', 'banking course', 'ultimate investment banking', 'investment banking', 'banking', 'investment', 'ultimate investment', 'course', 'ultimate']"
1,1,1,1,1,1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,TRUE,75,2792,923,274,All Levels,39 hours,2017-03-09T16:34:20Z,Business Finance,complete gst course  certification  grow practice,complete gst course & certification - grow your ca practice,"['gst course certification', 'complete gst course', 'grow ca practice', 'gst course', 'certification grow ca', 'course certification grow', 'certification grow', 'ca practice', 'complete gst', 'course certification']"
2,2,2,2,2,1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,TRUE,45,2174,74,51,Intermediate Level,2.5 hours,2016-12-19T19:26:30Z,Business Finance,financial modeling business analysts consultants,financial modeling for business analysts and consultants,"['financial modeling business', 'modeling business analysts', 'financial modeling', 'business analysts', 'business analysts consultants', 'analysts consultants', 'modeling business', 'analysts', 'consultants', 'financial']"
3,3,3,3,3,1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,TRUE,95,2451,11,36,All Levels,3 hours,2017-05-30T20:07:24Z,Business Finance,beginner pro  financial analysis excel 2017,beginner to pro - financial analysis in excel 2017,"['financial analysis excel', 'analysis excel 2017', 'analysis excel', 'excel 2017', 'pro financial analysis', 'financial analysis', 'excel', 'beginner pro financial', 'pro financial', 'analysis']"
4,4,4,4,4,1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,TRUE,200,1276,45,26,Intermediate Level,2 hours,2016-12-13T14:57:18Z,Business Finance,maximize profits trading options,how to maximize your profits trading options,"['profits trading options', 'maximize profits trading', 'trading options', 'maximize profits', 'profits trading', 'options', 'maximize', 'trading', 'profits']"
5,5,5,5,5,192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,TRUE,150,9221,138,25,All Levels,3 hours,2014-05-02T15:13:30Z,Business Finance,trading penny stocks guide levels 2017,trading penny stocks: a guide for all levels in 2017,"['penny stocks guide', 'trading penny stocks', 'penny stocks', 'trading penny', 'stocks guide', 'stocks', 'stocks guide levels', 'penny', 'trading', 'guide levels 2017']"
6,6,6,6,6,739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,TRUE,65,1540,178,26,Beginner Level,1 hour,2016-02-21T18:23:12Z,Business Finance,investing trading beginners mastering price charts,investing and trading for beginners: mastering price charts,"['mastering price charts', 'price charts', 'investing trading beginners', 'trading beginners mastering', 'trading beginners', 'charts', 'mastering price', 'investing trading', 'beginners mastering price', 'investing']"
7,7,7,7,7,403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,TRUE,95,2917,148,23,All Levels,2.5 hours,2015-01-30T22:13:03Z,Business Finance,trading stock chart patterns immediate explosive gains,"trading stock chart patterns for immediate, explosive gains","['stock chart patterns', 'trading stock chart', 'chart patterns immediate', 'chart patterns', 'immediate explosive gains', 'stock chart', 'trading stock', 'explosive gains', 'stock', 'patterns immediate explosive']"
8,8,8,8,8,476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,TRUE,195,5172,34,38,Expert Level,2.5 hours,2015-05-28T00:14:03Z,Business Finance,options trading 3  advanced stock profit success method,options trading 3 : advanced stock profit and success method,"['options trading advanced', 'options trading', 'advanced stock profit', 'stock profit success', 'profit success method', 'stock profit', 'trading advanced stock', 'advanced stock', 'profit success', 'trading advanced']"
9,9,9,9,9,1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,TRUE,200,827,14,15,All Levels,1 hour,2017-04-18T18:13:32Z,Business Finance,investment strategy need retirement,the only investment strategy you need for your retirement,"['strategy need retirement', 'investment strategy', 'investment strategy need', 'need retirement', 'retirement', 'investment', 'strategy', 'strategy need', 'need']"
